Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date,,match_link,player_id
36,-,-,1,0,,v Australia,Auckland,17 Feb 2005,T20I # 1,/ci/engine/match/211048.html,2
17*,-,-,1,0,,v South Africa,Johannesburg,21 Oct 2005,T20I # 3,/ci/engine/match/222678.html,2
4,-,-,0,0,,v West Indies,Auckland,16 Feb 2006,T20I # 5,/ci/engine/match/237242.html,2
39,-,-,0,0,,v Sri Lanka,Wellington,22 Dec 2006,T20I # 11,/ci/engine/match/251487.html,2
28,-,-,0,0,,v Sri Lanka,Auckland,26 Dec 2006,T20I # 12,/ci/engine/match/251488.html,2
16*,-,-,0,1,,v Kenya,Durban,12 Sep 2007,T20I # 21,/ci/engine/match/287854.html,2
10,-,-,0,0,,v Sri Lanka,Johannesburg,15 Sep 2007,T20I # 30,/ci/engine/match/287863.html,2
45,-,-,1,0,,v India,Johannesburg,16 Sep 2007,T20I # 32,/ci/engine/match/287865.html,2
4,-,-,0,0,,v England,Durban,18 Sep 2007,T20I # 36,/ci/engine/match/287869.html,2
38,-,-,3,0,,v South Africa,Durban,19 Sep 2007,T20I # 39,/ci/engine/match/287872.html,2
26,-,-,1,0,,v Pakistan,Cape Town,22 Sep 2007,T20I # 44,/ci/engine/match/287877.html,2
9,-,-,1,1,,v South Africa,Johannesburg,23 Nov 2007,T20I # 48,/ci/engine/match/298795.html,2
13,-,-,0,1,,v Australia,W.A.C.A,11 Dec 2007,T20I # 49,/ci/engine/match/291343.html,2
9,-,-,1,0,,v England,Auckland,5 Feb 2008,T20I # 53,/ci/engine/match/300435.html,2
5,-,-,0,0,,v England,Christchurch,7 Feb 2008,T20I # 54,/ci/engine/match/300436.html,2
24,-,-,0,0,,v England,Manchester,13 Jun 2008,T20I # 56,/ci/engine/match/296903.html,2
14,-,-,2,0,,v West Indies,Auckland,26 Dec 2008,T20I # 78,/ci/engine/match/366707.html,2
59,-,-,0,0,,v West Indies,Hamilton,28 Dec 2008,T20I # 79,/ci/engine/match/366708.html,2
61,-,-,0,0,,v Australia,Sydney,15 Feb 2009,T20I # 83,/ci/engine/match/351696.html,2
56*,-,-,1,0,,v India,Christchurch,25 Feb 2009,T20I # 84,/ci/engine/match/386494.html,2
69*,-,-,1,0,,v India,Wellington,27 Feb 2009,T20I # 85,/ci/engine/match/366622.html,2
18,-,-,0,0,,v Scotland,The Oval,6 Jun 2009,T20I # 91,/ci/engine/match/355992.html,2
